"entrezgene_id","external_gene_name","NOD_Sample1_t1","NOD_Sample1_t2","NOD_Sample1_t3","NOD_Sample1_t4","NOD_Sample1_t5","NOD_Sample2_t1","NOD_Sample2_t2","NOD_Sample2_t3","NOD_Sample2_t4","NOD_Sample2_t5","NOD_Sample3_t1","NOD_Sample3_t2","NOD_Sample3_t3","NOD_Sample3_t4","NOD_Sample3_t5","NOD_Sample4_t1","NOD_Sample4_t2","NOD_Sample4_t3","NOD_Sample4_t4","NOD_Sample4_t5","NOD_Sample5_t1","NOD_Sample5_t2","NOD_Sample5_t3","NOD_Sample5_t4","NOD_Sample5_t5","NS_Sample1_t1","NS_Sample1_t2","NS_Sample1_t3","NS_Sample1_t4","NS_Sample1_t5","NS_Sample2_t1","NS_Sample2_t2","NS_Sample2_t3","NS_Sample2_t4","NS_Sample2_t5","NS_Sample3_t1","NS_Sample3_t2","NS_Sample3_t3","NS_Sample3_t4","NS_Sample3_t5","NS_Sample4_t1","NS_Sample4_t2","NS_Sample4_t3","NS_Sample4_t4","NS_Sample4_t5"
"239691","AU021092",76,63,31,35,61,62,16,29,63,96,75,18,54,52,37,40,61,49,63,52,27,33,87,52,14,65,60,43,20,33,50,72,42,44,46,76,49,28,16,20,105,24,13,59,18
"80748","BC004004",1515,1259,1271,866,1210,1020,1144,1076,732,1818,1134,1545,1043,1014,891,784,1365,1201,803,1178,610,1214,933,1183,746,1250,1856,1156,1149,1093,1334,1350,1315,1001,642,1241,1483,921,222,437,1247,1354,666,873,391
"442803","A830005F24Rik",1,0,2,0,1,1,5,2,2,8,4,5,2,0,4,2,1,5,0,2,0,0,1,2,0,1,5,1,2,2,0,2,3,3,1,0,0,0,1,0,0,4,2,0,0
"1,50,33,15,043","H2-T3",1,4,3,1,3,2,2,2,4,2,3,3,2,1,0,0,2,2,4,2,2,0,4,3,3,2,3,0,1,1,2,1,11,1,1,0,3,4,1,0,3,4,0,3,0
"71583","9130008F23Rik",109,53,68,60,78,87,47,84,65,217,52,110,98,90,73,69,93,96,64,91,20,80,88,77,51,83,104,95,73,47,58,97,92,66,83,70,65,69,13,80,97,122,49,59,24
"15978","Ifng",2,1,5,0,0,0,1,0,1,0,2,0,1,0,0,1,0,0,0,0,0,2,3,1,0,2,2,2,1,2,0,1,0,0,0,3,1,2,0,0,0,0,0,0,0
"14862","Gstm1",7654,11362,12817,4656,6239,4825,11097,5774,2709,5663,6340,8563,4461,3291,3751,5567,6388,5813,3496,4501,4246,8792,4411,4994,2664,6268,13528,5011,3988,3854,7604,12462,5427,5066,2556,7760,12587,4644,866,1148,4304,8666,2604,4954,1626
"15,01,81,10,558","H2-Q7",6749,6778,13894,7012,7456,3821,9332,6257,5994,7829,4981,11946,6043,4969,10476,6145,7032,9110,5919,5581,3045,11236,6784,6181,5584,5660,8456,7954,7262,7318,6348,11027,6841,7145,5958,7245,7323,6591,793,3815,4651,7763,5344,5628,2855
"14870","Gstp1",1643,1360,1362,715,992,1263,1015,1284,666,2097,1363,859,853,1016,505,936,987,860,865,1160,758,1158,1113,932,679,1331,1549,813,759,651,1116,1027,1570,908,519,1359,1611,672,226,606,1529,1644,452,798,410
"14972","H2-K1",5504,4604,7312,3234,3513,4016,5441,4120,2646,5123,4013,6004,3181,2862,3841,4668,3796,4009,2759,3049,2047,7330,4122,3159,2274,4373,6173,3469,3689,3572,3956,6181,4103,4269,2597,5887,5676,3709,676,1380,3588,4608,2405,3377,1275
"14775","Gpx1",16879,15876,17748,11606,14696,9180,15267,14525,9436,20458,12692,28233,16872,12162,15051,10356,22884,25637,12002,16212,5189,17731,14059,15208,11322,13762,23123,15886,17791,21381,17285,15521,13505,14347,11234,14183,17930,13565,2510,9903,11930,13831,10741,13313,9525
"15040","H2-T23",495,514,922,395,462,261,609,411,424,554,418,676,451,394,757,374,685,515,361,486,257,567,458,335,263,537,747,438,581,502,519,579,494,414,252,612,703,374,103,204,452,525,310,368,151
"15007","H2-Q10",55,50,73,46,48,37,47,53,57,69,47,78,42,37,63,57,55,64,67,38,22,96,61,49,45,33,50,62,74,76,27,92,55,44,61,43,56,38,5,55,44,83,35,31,25
"100043314","Tigit",18,18,22,4,9,5,15,6,5,9,11,4,8,10,2,10,7,4,4,10,9,11,9,12,6,9,13,12,7,4,12,2,20,11,4,12,19,13,1,5,17,1,13,11,0
"20657","Sod3",4962,4669,5004,2141,3485,4922,3085,2503,2834,8138,4164,2910,2799,3338,1974,4386,2652,2457,2611,4337,2577,4596,4737,4165,1768,4512,5965,4808,2741,1998,3662,4911,5287,4237,2518,5156,5147,4851,769,1334,3893,8855,3300,4082,1518
"14964","H2-D1",125056,127037,187041,107344,114940,64563,134635,118321,75647,135587,98076,199164,106350,80415,114521,86453,140303,148311,90242,101226,49561,166592,105473,106544,78819,95300,172443,114687,117590,121108,115614,154144,103767,106991,72670,120667,153897,97880,16056,50657,79108,109811,77336,91369,44721
"15006","H2-Q1",69,73,103,61,61,36,82,40,54,111,53,112,61,43,80,52,56,133,40,50,10,107,76,54,53,39,90,75,45,82,42,119,62,42,71,73,79,56,4,29,52,71,42,39,25
"15013","H2-Q2",29,28,58,35,32,22,30,33,22,40,35,60,37,30,23,27,26,41,27,29,15,59,34,21,35,17,43,47,43,33,18,51,34,13,35,23,41,29,7,25,19,56,18,21,16
